rollout/success_rate,train/std,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/ent_coef,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0,0.05011865124106407,49464,87,563,50.0,-20.39050788,990,39460,0.019306327681988478,0.0029708740767091513,0.0001,-20.721689701080322,0.6451547592878342,,,
0.0,0.050123684108257294,49964,87,569,50.0,-20.5379282,1000,39960,0.018368507735431194,0.006942409090697765,0.0001,-18.5621395111084,0.8104595243930817,,,
0.009999999776482582,0.0501299723982811,50444,87,575,49.8,-20.876319520000003,1010,40440,0.017512991093099117,0.0031225249695125967,0.0001,-19.214585781097412,0.902105301618576,,,
0.009999999776482582,0.05012403056025505,50944,87,581,49.8,-21.030223819999996,1020,40940,0.016662029083818197,0.0030144670454319566,0.0001,-21.921256065368652,1.044720634818077,,,
0.009999999776482582,0.050114408135414124,51444,87,587,49.8,-20.69209915,1030,41440,0.015851632691919804,0.0035486703272908926,0.0001,-20.09901523590088,1.2001637816429138,,,
0.009999999776482582,0.05010863393545151,51944,87,594,49.8,-21.087952400000002,1040,41940,0.015081139048561454,0.001483145882957615,0.0001,-21.862568855285645,1.3425093591213226,,,
0.009999999776482582,0.05010379105806351,52444,87,600,49.8,-20.74003438,1050,42440,0.01434955419972539,0.00102097618218977,0.0001,-19.84722137451172,1.4667321741580963,,,
0.009999999776482582,0.05010876804590225,52944,87,606,49.8,-20.727444550000005,1060,42940,0.013654755894094706,0.0019104703969787806,0.0001,-22.494723796844482,1.6068256199359894,,,
0.009999999776482582,0.05009692162275314,53444,87,612,49.8,-21.045382379999996,1070,43440,0.012990960152819753,0.005960065915132873,0.0001,-19.57959270477295,1.6777414679527283,,,
0.009999999776482582,0.050103478133678436,53944,87,619,49.8,-21.83353111,1080,43940,0.012360059656202793,0.0028992098959861323,0.0001,-21.78484869003296,1.817726969718933,,,
0.009999999776482582,0.05010686442255974,54444,87,625,49.8,-21.918807669999996,1090,44440,0.011761365924030542,0.0019741944124689326,0.0001,-21.115702152252197,1.917847216129303,,,
0.009999999776482582,0.050095926970243454,54944,86,631,49.8,-21.874692959999997,1100,44940,0.011190032120794058,0.0009698300709715113,0.0001,-21.315619468688965,2.029680758714676,,,
0.0,0.05008876323699951,55444,86,638,50.0,-21.66567074,1110,45440,0.010647688060998917,0.000862581713590771,0.0001,-21.034667491912842,2.12060284614563,,,
0.0,0.050089191645383835,55944,86,644,50.0,-21.326918059999997,1120,45940,0.0101314727216959,0.001233576680533588,0.0001,-22.43428325653076,2.1817917823791504,,,
0.0,0.05009295791387558,56444,86,650,50.0,-21.54016377,1130,46440,0.009644978446885943,0.002297488594194874,0.0001,-21.584397792816162,2.2699668407440186,,,
0.0,0.05008465051651001,56944,86,656,50.0,-21.432595180000003,1140,46940,0.009178558830171824,0.005437109182821587,0.0001,-20.57939052581787,2.324187457561493,,,
0.0,0.05006729066371918,57444,86,662,50.0,-21.522475410000002,1150,47440,0.008738237898796797,0.002480117982486263,0.0001,-22.864468574523926,2.4548787474632263,,,
0.0,0.0500616729259491,57944,86,669,50.0,-20.952464159999998,1160,47940,0.0083173259627074,0.0011621432495303452,0.0001,-23.68920135498047,2.512371301651001,,,
0.0,0.05004986375570297,58444,86,675,50.0,-20.621667860000002,1170,48440,0.007919247029349208,0.0026024535472970456,0.0001,-21.535976886749268,2.5051010847091675,,,
0.0,0.050054024904966354,58944,86,681,50.0,-20.02959797,1180,48940,0.007545890752226114,0.0027203269710298628,0.0001,-22.645270824432373,2.6210819482803345,,,
0.0,0.050049178302288055,59444,86,688,50.0,-20.12725768,1190,49440,0.007186252856627107,0.001467528025386855,0.0001,-21.84548330307007,2.684626042842865,,,
0.0,0.05004429444670677,59944,86,694,50.0,-19.97939277,1200,49940,0.006844357936643064,0.0015994930290617049,0.0001,-24.13891887664795,2.657125949859619,,,
,,60000,,,,,,49996,0.006806694087572396,0.0022702506103087217,0.0001,-22.384609699249268,2.668100655078888,-19.88108265,50.0,0.0
0.0,0.050034623593091965,60444,85,706,50.0,-20.205911150000002,1210,50440,0.006516128079965711,0.0021310446318238974,0.0001,-23.63392162322998,2.722107946872711,,,
0.0,0.05003415793180466,60944,85,712,50.0,-20.58677098,1220,50940,0.00620219751726836,0.0016708456969354302,0.0001,-23.281763076782227,2.7849873304367065,,,
0.0,0.050031136721372604,61444,85,718,50.0,-20.87358408,1230,51440,0.005900824209675193,0.0010236788220936432,0.0001,-21.73349142074585,2.824724495410919,,,
0.0,0.05003033205866814,61944,85,724,50.0,-20.62439328,1240,51940,0.005614974885247648,0.0015981347096385434,0.0001,-22.23921823501587,2.9290467500686646,,,
0.0,0.05002739280462265,62444,85,730,50.0,-20.585117399999998,1250,52440,0.005344739533029497,0.0016333914827555418,0.0001,-23.18321132659912,2.9015764594078064,,,
0.0,0.05001343786716461,62944,85,736,50.0,-21.064589889999997,1260,52940,0.005088424310088158,0.002880247833672911,0.0001,-23.17454481124878,3.0548540353775024,,,
